"date","url","name","pre.for","pre.aga","pre.und","post.for","post.aga","post.und","for.to.for","for.to.aga","for.to.und","aga.to.for","aga.to.aga","aga.to.und","und.to.for","und.to.aga","und.to.und","abs.change.for","abs.change.aga","abs.change.und","winner.orig","for.to.for.prop","for.to.aga.prop","for.to.und.prop","aga.to.for.prop","aga.to.aga.prop","aga.to.und.prop","und.to.for.prop","und.to.aga.prop","und.to.und.prop"
"05/04/2015","https://www.intelligencesquaredus.org/debates/obamas-iran-deal-good-america","Obama Iran Deal is Good for America",38,19,43,51,42,7,27,9,2,2,17,0,22,16,5,13,23,-36,FALSE,0.710526315789474,0.236842105263158,0.0526315789473684,0.105263157894737,0.894736842105263,0,0.511627906976744,0.372093023255814,0.116279069767442
"05/13/2015","https://www.intelligencesquaredus.org/debates/smart-technology-making-us-dumb","Smart Technology is Making Us Dumb",36,33,31,46,43,11,26,6,4,8,23,2,12,14,5,10,10,-20,NA,0.722222222222222,0.166666666666667,0.111111111111111,0.242424242424242,0.696969696969697,0.0606060606060606,0.387096774193548,0.451612903225806,0.161290322580645
"04/15/2015","https://www.intelligencesquaredus.org/debates/abolish-death-penalty","Abolish the Death Penalty",48,18,34,55,39,6,37,10,1,3,14,1,15,15,4,7,21,-28,FALSE,0.770833333333333,0.208333333333333,0.0208333333333333,0.166666666666667,0.777777777777778,0.0555555555555556,0.441176470588235,0.441176470588235,0.117647058823529
"03/31/2015","https://www.intelligencesquaredus.org/debates/president-has-exceeded-his-constitutional-authority-waging-war-without-congressional","The President Has Exceeded His Constitutional Authority by Waging War Without Congressional Authorization",28,31,40,39,51,9,19,7,2,7,22,2,13,22,5,11,20,-31,FALSE,0.678571428571429,0.25,0.0714285714285714,0.225806451612903,0.709677419354839,0.0645161290322581,0.325,0.55,0.125
"03/11/2015","https://www.intelligencesquaredus.org/debates/us-should-adopt-right-be-forgotten-online","The U.S. Should Adopt the Right to Be Forgotten Online",34,28,38,35,56,9,21,8,5,5,22,1,9,26,3,1,28,-29,FALSE,0.617647058823529,0.235294117647059,0.147058823529412,0.178571428571429,0.785714285714286,0.0357142857142857,0.236842105263158,0.684210526315789,0.0789473684210526
"02/24/2015","https://www.intelligencesquaredus.org/debates/liberals-are-stifling-intellectual-diversity-campus","Liberals Are Stifling Intellectual Diversity on Campus",32,20,48,60,32,8,29,2,1,8,11,1,23,19,6,28,12,-40,TRUE,0.90625,0.0625,0.03125,0.4,0.55,0.05,0.479166666666667,0.395833333333333,0.125
"02/11/2015","https://www.intelligencesquaredus.org/debates/declinists-be-damned-bet-america","Declinists be Damned Bet on America",48,24,28,64,25,11,37,8,3,11,10,3,16,7,5,16,1,-17,TRUE,0.770833333333333,0.166666666666667,0.0625,0.458333333333333,0.416666666666667,0.125,0.571428571428571,0.25,0.178571428571429
"01/15/2015","https://www.intelligencesquaredus.org/debates/amazon-readers-friend","Amazon is the Readers Best Friend",43,28,30,43,49,9,22,16,5,7,20,1,14,13,3,0,21,-21,FALSE,0.511627906976744,0.372093023255814,0.116279069767442,0.25,0.714285714285714,0.0357142857142857,0.466666666666667,0.433333333333333,0.1
"12/04/2014","https://www.intelligencesquaredus.org/debates/genetically-modify-food","Genetically Modify Food",32,30,37,60,30,9,29,2,1,9,18,3,22,10,5,28,0,-28,TRUE,0.90625,0.0625,0.03125,0.3,0.6,0.1,0.594594594594595,0.27027027027027,0.135135135135135
"11/03/2014","https://www.intelligencesquaredus.org/debates/legalize-assisted-suicide","Legalize Assisted Suicide",63,11,26,67,22,11,47,7,9,5,6,0,15,9,2,4,11,-15,FALSE,0.746031746031746,0.111111111111111,0.142857142857143,0.454545454545455,0.545454545454545,0,0.576923076923077,0.346153846153846,0.0769230769230769
"10/22/2014","https://www.intelligencesquaredus.org/debates/income-inequality-impairs-american-dream-upward-mobility","Income Inequality Impairs The American Dream Of Upward Mobility",60,12,26,53,36,9,40,15,5,2,10,0,11,11,4,-7,24,-17,FALSE,0.666666666666667,0.25,0.0833333333333333,0.166666666666667,0.833333333333333,0,0.423076923076923,0.423076923076923,0.153846153846154
"10/07/2014","https://www.intelligencesquaredus.org/debates/mass-collection-us-phone-records-violates-fourth-amendment","Mass Collection of U.S. Phone Records Violates the Fourth Amendment",44,18,37,66,27,6,35,7,2,5,13,0,26,7,4,22,9,-31,TRUE,0.795454545454545,0.159090909090909,0.0454545454545455,0.277777777777778,0.722222222222222,0,0.702702702702703,0.189189189189189,0.108108108108108
"09/30/2014","https://www.intelligencesquaredus.org/debates/flexing-americas-muscles-middle-east-will-make-things-worse","Flexing Americas Muscles In The Middle East Will Make Things Worse",28,32,41,46,45,10,20,6,2,7,23,2,19,16,6,18,13,-31,TRUE,0.714285714285714,0.214285714285714,0.0714285714285714,0.21875,0.71875,0.0625,0.463414634146341,0.390243902439024,0.146341463414634
"09/09/2014","https://www.intelligencesquaredus.org/debates/embrace-common-core","Embrace the Common Core",49,13,38,67,27,6,41,6,2,3,9,1,23,12,3,18,14,-32,TRUE,0.836734693877551,0.122448979591837,0.0408163265306122,0.230769230769231,0.692307692307692,0.0769230769230769,0.605263157894737,0.315789473684211,0.0789473684210526
"06/24/2014","https://www.intelligencesquaredus.org/debates/individuals-and-organizations-have-constitutional-right-unlimited-spending-their-own","Individuals and organizations have a constitutional right to unlimited spending on their own political speech",34,49,18,31,67,3,21,13,0,7,41,1,3,13,2,-3,18,-15,FALSE,0.617647058823529,0.382352941176471,0,0.142857142857143,0.836734693877551,0.0204081632653061,0.166666666666667,0.722222222222222,0.111111111111111
"05/07/2014","https://www.intelligencesquaredus.org/debates/death-not-final","Death is not Final",36,30,33,42,46,11,27,7,2,3,26,1,12,13,8,6,16,-22,FALSE,0.75,0.194444444444444,0.0555555555555556,0.1,0.866666666666667,0.0333333333333333,0.363636363636364,0.393939393939394,0.242424242424242
"04/11/2014","https://www.intelligencesquaredus.org/debates/millennials-dont-stand-chance"," Millenials Don’t Stand a Chance",15,45,41,37,50,14,10,5,0,11,29,5,16,16,9,22,5,-27,TRUE,0.666666666666667,0.333333333333333,0,0.244444444444444,0.644444444444444,0.111111111111111,0.390243902439024,0.390243902439024,0.219512195121951
"04/02/2014","https://www.intelligencesquaredus.org/debates/more-clicks-fewer-bricks-lecture-hall-obsolete","The Lecture Doesn’t Stand a Chance",20,59,21,39,51,10,12,7,1,14,39,6,13,5,3,19,-8,-11,TRUE,0.6,0.35,0.05,0.23728813559322,0.661016949152542,0.101694915254237,0.619047619047619,0.238095238095238,0.142857142857143
"03/12/2014","https://www.intelligencesquaredus.org/debates/russia-marginal-power","Russia is a Marginal Power",24,44,33,35,58,8,14,9,1,9,32,3,12,17,4,11,14,-25,FALSE,0.583333333333333,0.375,0.0416666666666667,0.204545454545455,0.727272727272727,0.0681818181818182,0.363636363636364,0.515151515151515,0.121212121212121
"03/05/2014","https://www.intelligencesquaredus.org/debates/president-has-constitutional-power-target-and-kill-us-citizens-abroad","The President Has Constitutional Power To Target And Kill U.S. Citizens Abroad",30,45,26,55,39,7,21,9,0,20,23,2,14,7,5,25,-6,-19,TRUE,0.7,0.3,0,0.444444444444444,0.511111111111111,0.0444444444444444,0.538461538461538,0.269230769230769,0.192307692307692
"02/27/2014","https://www.intelligencesquaredus.org/debates/affirmative-action-campus-does-more-harm-good","Affirmative Action does more Harm than Good",22,48,30,37,53,10,16,5,1,7,38,3,14,10,6,15,5,-20,TRUE,0.727272727272727,0.227272727272727,0.0454545454545455,0.145833333333333,0.791666666666667,0.0625,0.466666666666667,0.333333333333333,0.2
"02/12/2014","https://www.intelligencesquaredus.org/debates/snowden-was-justified","Snowden Was justified",30,29,42,55,34,12,24,4,2,6,21,2,25,9,8,25,5,-30,TRUE,0.8,0.133333333333333,0.0666666666666667,0.206896551724138,0.724137931034483,0.0689655172413793,0.595238095238095,0.214285714285714,0.19047619047619
