"date","url","name","pre.for","pre.aga","pre.und","post.for","post.aga","post.und","for.to.for","for.to.aga","for.to.und","aga.to.for","aga.to.aga","aga.to.und","und.to.for","und.to.aga","und.to.for.1"
"09/30/2014","https://www.intelligencesquaredus.org/debates/flexing-americas-muscles-middle-east-will-make-things-worse","Flexing Americas Muscles In The Middle East Will Make Things Worse
09/09/2014,https://www.intelligencesquaredus.org/debates/embrace-common-core,Embrace the Common Core
06/24/2014,https://www.intelligencesquaredus.org/debates/individuals-and-organizations-have-constitutional-right-unlimited-spending-their-own,Individuals and organizations have a constitutional right to unlimited spending on their own political speech
05/07/2014,https://www.intelligencesquaredus.org/debates/death-not-final,Death is not Final
04/11/2014,https://www.intelligencesquaredus.org/debates/millennials-dont-stand-chance, Millenials Don’t Stand a Chance
04/02/2014,https://www.intelligencesquaredus.org/debates/more-clicks-fewer-bricks-lecture-hall-obsolete,The Lecture Doesn’t Stand a Chance
03/12/2014,https://www.intelligencesquaredus.org/debates/russia-marginal-power,Russia is a Marginal Power
03/05/2014,https://www.intelligencesquaredus.org/debates/president-has-constitutional-power-target-and-kill-us-citizens-abroad,The President Has Constitutional Power To Target And Kill U.S. Citizens Abroad
02/27/2014,https://www.intelligencesquaredus.org/debates/affirmative-action-campus-does-more-harm-good,Affirmative Action does more Harm than Good
02/12/2014,https://www.intelligencesquaredus.org/debates/snowden-was-justified,Snowden Was justified
20/20/2015,https://www.intelligencesquaredus.org/debates/china-and-us-are-long-term-enemies,The China and the US are Long Term Enemies
",28,32,41,46,45,10,20,6,2,7,23,2,19,16,6
"09/09/2014","https://www.intelligencesquaredus.org/debates/embrace-common-core","Embrace the Common Core",49,13,38,67,27,6,41,6,2,3,9,1,23,12,3
"06/24/2014","https://www.intelligencesquaredus.org/debates/individuals-and-organizations-have-constitutional-right-unlimited-spending-their-own","Individuals and organizations have a constitutional right to unlimited spending on their own political speech",34,49,18,31,67,3,21,13,0,7,41,1,3,13,2
"05/07/2014","https://www.intelligencesquaredus.org/debates/death-not-final","Death is not Final",36,30,33,42,46,11,27,7,2,3,26,1,12,13,8
"04/11/2014","https://www.intelligencesquaredus.org/debates/millennials-dont-stand-chance"," Millenials Don’t Stand a Chance",15,45,41,37,50,14,10,5,0,11,29,5,16,16,9
"04/02/2014","https://www.intelligencesquaredus.org/debates/more-clicks-fewer-bricks-lecture-hall-obsolete","The Lecture Doesn’t Stand a Chance",20,59,21,39,51,10,12,7,1,14,39,6,13,5,3
"03/12/2014","https://www.intelligencesquaredus.org/debates/russia-marginal-power","Russia is a Marginal Power",24,44,33,35,58,8,14,9,1,9,32,3,12,17,4
"03/05/2014","https://www.intelligencesquaredus.org/debates/president-has-constitutional-power-target-and-kill-us-citizens-abroad","The President Has Constitutional Power To Target And Kill U.S. Citizens Abroad",30,45,26,55,39,7,21,9,0,20,23,2,14,7,5
"02/27/2014","https://www.intelligencesquaredus.org/debates/affirmative-action-campus-does-more-harm-good","Affirmative Action does more Harm than Good",22,48,30,37,53,10,16,5,1,7,38,3,14,10,6
"02/12/2014","https://www.intelligencesquaredus.org/debates/snowden-was-justified","Snowden Was justified",30,29,42,55,34,12,24,4,2,6,21,2,25,9,8
"01/15/2014","https://www.intelligencesquaredus.org/debates/obamacare-now-beyond-rescue","Obamacare is Now Beyond Rescue",16,53,31,33,58,9,13,2,1,9,40,4,11,16,4
"12/04/2013","https://www.intelligencesquaredus.org/debates/dont-eat-anything-face","Dont Eat Anything with a Face",24,52,25,46,43,12,19,2,3,12,36,4,15,5,5
"11/20/2013","https://www.intelligencesquaredus.org/debates/spy-me-id-rather-be-safe","Spy on me Id Rather Be Safe",26,41,33,28,63,9,16,7,3,2,38,1,10,18,5
"11/14/2013","https://www.intelligencesquaredus.org/debates/constitutional-right-bear-arms-has-outlived-its-usefulness","The Constitutional Right to Bear Arms has Outlived its Usefulness",64,18,18,74,22,4,58,4,2,5,12,1,11,6,1
"10/30/2013","https://www.intelligencesquaredus.org/debates/let-anyone-take-job-anywhere","Let Anyone take a Job Anywhere",46,21,34,43,49,9,28,15,3,4,16,1,11,18,5
"10/18/2013","https://www.intelligencesquaredus.org/debates/better-future-live-red-state","For a Better Future Live in a Red State",55,24,22,74,23,4,52,3,0,9,14,1,13,6,3
"10/16/2013","https://www.intelligencesquaredus.org/debates/break-big-banks","Break up the Big Banks",35,19,46,48,39,13,25,5,5,3,16,0,20,18,8
"09/10/2013","https://www.intelligencesquaredus.org/debates/us-drone-program-fatally-flawed","The US Drone Program is Fatally Flawed",24,34,41,20,65,14,10,10,4,2,31,1,8,24,9
"08/09/2013","https://www.intelligencesquaredus.org/debates/us-has-no-dog-fight-syria","The US Has No Dog in the Fight in Syria",41,29,31,60,34,7,36,4,1,9,19,1,15,11,5
"06/19/2013","https://www.intelligencesquaredus.org/debates/cutting-pentagons-budget-gift-our-enemies","Cuttin the Pentagons Budget is a Gift to our Enemies",20,58,22,29,66,5,14,5,1,8,48,2,7,13,2
"05/08/2013","https://www.intelligencesquaredus.org/debates/fdas-caution-hazardous-our-health","The FDAs Caution is Hazardous to our Health",23,32,45,53,37,10,19,2,2,12,18,2,22,17,6
"04/17/2013","https://www.intelligencesquaredus.org/debates/gop-must-seize-center-or-die","The GOP must Seize the Center or Die",63,14,23,65,28,7,45,14,4,6,8,0,14,6,3
"04/03/2013","https://www.intelligencesquaredus.org/debates/abolish-minimum-wage"," Abolish Minimum Wage",20,59,21,26,67,7,17,3,0,4,53,2,5,11,5
"03/13/2013","https://www.intelligencesquaredus.org/debates/america-doesnt-need-strong-dollar-policy"," America Doesnt Need a Strong Dollar Policy",23,31,46,53,37,10,17,6,0,10,19,2,26,12,8
"02/13/2013","https://www.intelligencesquaredus.org/debates/prohibit-genetically-engineered-babies","Prohibit Genetically Engineered Babies",26.5,27.5,46,41.5,47.5,11,18,4.5,4,4.5,20,3,19,23,4
"01/16/2013","https://www.intelligencesquaredus.org/debates/israel-can-live-nuclear-iran","Israel Can Live with a Nuclear Iran",25,35,40,37,55,8,16,8,1,4,30,1,17,17,6
"12/05/2012","https://www.intelligencesquaredus.org/debates/science-refutes-god","Science Refutes God",39,33,29,51,38,12,31,6,2,7,24,2,13,8,8
"11/14/2012","https://www.intelligencesquaredus.org/debates/legalize-drugs","Legalize Drugs",45,22,33,57,30,13,35,6,4,6,14,2,16,10,7
"10/24/2012","https://www.intelligencesquaredus.org/debates/rich-are-taxed-enough","The Rich are Taxed Enough",28,49,25,31,63,8,19,7,2,5,42,2,7,14,4
"10/10/2012","https://www.intelligencesquaredus.org/debates/ration-end-life-care","Ration End of Life Healthcare",43,20,37,82,12,6,39,2,2,12,7,1,31,3,3
"10/04/2012","https://www.intelligencesquaredus.org/debates/better-elected-islamists-dictators","Better Elected Islamists than Dictators",43,30,27,43,50,7,30,12,1,3,26,1,10,12,5
